wave,flux,unc
1.12347,6.67E-12,1.94E-13
1.12379,6.48E-12,1.95E-13
1.12412,6.29E-12,2.12E-13
1.12445,6.60E-12,2.07E-13
1.12477,7.28E-12,1.86E-13
1.1251,7.25E-12,2.06E-13
1.12542,6.19E-12,2.56E-13
1.12575,5.18E-12,2.55E-13
1.12607,5.62E-12,2.21E-13
1.1264,6.47E-12,2.18E-13
1.12673,7.26E-12,2.33E-13
1.12705,7.68E-12,2.27E-13
1.12738,7.53E-12,2.16E-13
1.1277,6.77E-12,1.88E-13
1.12803,6.36E-12,1.57E-13
1.12835,6.11E-12,1.57E-13
1.12868,6.50E-12,1.96E-13
1.129,7.27E-12,2.63E-13
1.12933,7.40E-12,3.00E-13
1.12965,6.53E-12,2.91E-13
1.12998,6.06E-12,2.81E-13
1.13031,6.20E-12,2.67E-13
1.13063,6.34E-12,2.37E-13
1.13096,6.25E-12,1.91E-13
1.13128,5.88E-12,1.67E-13
1.13161,5.55E-12,1.69E-13
